water_level,temperature,ldr,pH,humidity ,label
3.3,12.6,717,8.9,14,47
11.5,19.8,988,5.3,73,28
14.2,17.7,818,8.8,44,29
12.1,13.1,840,7.9,38,29
9.6,24,721,5.2,71,22
5.6,12.9,910,7.7,19,29
2.3,14.8,211,9,51,45
10,20.6,505,8.1,9,27
4,19.8,656,8.9,45,43
0.8,10.6,49,5.9,63,13
7.1,16.4,368,7.7,26,27
12.8,9.5,552,8.7,0,27
14.4,17.9,733,6.8,64,29
13.1,17.4,675,6.9,18,25
8.6,26,272,6.1,38,1
7.9,21.7,257,7.5,55,27
6.6,8.3,851,7.2,52,29
14.8,20.8,633,7.2,21,27
6.1,20.4,910,8.5,15,29
1.8,13.4,749,7.8,65,47
11.5,19.5,887,8.6,0,29
13.6,17.3,27,5.3,45,26
8.6,21.9,828,8.5,68,29
0.4,29.2,640,5.7,20,10
10.1,12.1,757,6.8,9,29
2.2,12.2,412,5.2,65,44
5.4,23.7,466,5.4,46,26
0.6,15.8,441,7.1,41,45
13,21.2,531,5.7,28,4
3.4,24.1,5,5.1,61,38
4.4,11.1,4,7.6,11,45
5.9,18.9,0,6.1,35,4
0.8,10.9,808,5.4,43,46
8.6,18.4,131,6.4,33,4
10.2,27.3,940,6.6,29,23
9.1,12.3,230,7.3,12,27
9.2,17,557,8.4,40,27
6.8,29.9,135,7.8,29,21
4.1,23.4,998,8,29,47
11,13.1,569,5.5,69,4
6.6,27.4,542,7.7,65,21
11,25.4,409,7,8,21
11.9,21.7,817,5.1,36,28
9.1,21.5,408,6.7,68,27
13.4,8.6,127,5.9,2,4
0.9,15.9,546,8.2,7,45
0.5,25.4,783,5.3,10,40
6.6,13.5,326,7.5,33,27
2.2,17.8,740,6.7,48,47
11.9,16.3,347,6,0,4
5.5,8.8,787,7.8,76,29
12.6,24.4,298,7.8,72,21
14.7,23.3,706,7,63,29
6.6,24,44,6,77,1
8.2,29.8,55,6.2,55,1
3.9,11.4,400,5.8,25,13
2.4,16.3,606,5.5,58,13
14.3,17.7,419,8.9,63,27
1.7,21.4,656,8.2,21,43
11.8,13.1,131,7.2,74,27
0.6,19.9,291,6.9,44,45
2.3,22.8,896,8.2,1,47
14.1,19.6,492,6,45,4
2.2,12.8,489,6.6,49,45
10.8,25,726,6.2,59,2
0.2,23.3,113,6.3,41,13
2.9,26.9,41,8,23,39
13.1,22.5,26,5.8,76,4
0.7,23.9,881,8.8,27,47
5.2,10.9,895,8.4,49,29
11.7,23.2,295,8.9,6,27
9.2,13.5,884,7.9,67,29
7.6,22.3,657,7,46,25
2,19.9,41,7.6,36,45
14.7,26.3,452,7.2,42,21
11.4,12.9,667,7.3,9,25
14.1,9.1,932,5.4,8,28
14.9,29.9,685,5.2,37,18
13,21.7,33,7.5,79,27
0,22.1,608,7.9,34,45
3,9.8,811,8.5,52,47
3.2,12.4,884,6.8,30,47
4.7,17.1,373,8.8,50,45
14.5,14.4,777,5.5,34,5
3.3,24.9,694,8.3,16,37
12.1,23.8,431,8.9,10,27
4.8,20.2,577,6.8,21,45
4.2,18.9,168,6.7,11,45
9.6,21.5,558,6.9,38,27
10.5,19.5,166,6.6,56,27
0.6,23.5,244,6.2,75,13
0.4,19.9,446,8.8,4,45
1,13,163,6.7,4,45
11.2,14.6,769,6.6,9,29
8.4,18.5,597,7.2,7,27
10.7,17.2,664,6.8,50,25
11.3,27.2,64,7.7,48,21
13.8,16,869,5.8,54,5
10.8,26.1,463,5.9,64,1
14.4,17.5,238,8.6,29,27
3.3,14.6,723,5.3,40,46
13.7,15.9,678,7.7,58,25
8.8,11.9,719,8.7,48,29
1.5,29,974,6.4,12,11
4.8,13.5,690,6.6,59,43
1.9,23.6,0,8.4,11,45
7.5,16.4,456,7.3,13,27
3.4,29.5,943,8.2,23,41
2.2,12.5,558,6.1,36,13
1.4,18.3,431,6.9,37,45
11.5,20.5,851,8.3,72,29
12.2,19,339,7.3,45,27
2.9,16.4,775,7.4,34,47
14.6,11.8,587,5.8,10,4
14.7,25.2,120,5.3,1,20
6.8,28.7,957,6.7,28,23
3.5,25.7,716,5.1,62,40
6.6,27.4,612,8.2,41,21
13.8,12.5,230,5.1,1,26
15,27.9,697,8.5,74,19
5.8,22.1,655,5,80,24
7.2,20.7,798,7,37,29
12.2,11.6,358,6.9,39,27
6.6,12.1,123,6.6,33,27
10.2,11,509,5.3,30,26
6.6,22.7,992,8.8,24,29
4.5,19,201,8.2,54,45
1.5,15,914,6.8,42,47
1.1,25.2,490,6.9,70,39
8.9,22,23,8.6,2,27
3.7,29.1,508,6.3,68,10
2,27.2,939,7.2,36,41
14.1,28.8,930,5.3,27,22
13.2,9.2,123,7.5,36,27
4.6,24.4,645,5.3,37,38
13.3,18.6,905,5.8,62,5
2.5,28.7,721,8.4,40,41
14,21.7,570,8.9,16,27
2.8,20.7,520,7.2,3,45
2.8,9,513,6.6,26,45
7.6,28.2,619,8,10,21
12.3,15.7,79,5.8,12,4
3.6,14.9,787,8,31,47
8.8,9.9,804,8.2,72,29
3.2,12.3,956,6.9,61,47
3.5,10.4,870,8.4,23,47
2.5,12,393,6.2,53,13
11.3,11.5,117,5.3,30,26
12.9,24.5,199,8.6,23,21
5,25.4,562,8.5,52,21
0.1,18.2,818,8.9,64,47
12.9,28.2,571,5.1,13,20
5.7,13.7,438,6.4,70,4
0.3,24.5,272,7.6,2,39
11.8,11.8,402,6.1,17,4
7.7,27.5,77,8.6,33,21
10.5,23.8,197,7.7,68,27
0.4,14.1,214,7.1,23,45
10.3,14.8,549,5.3,67,26
13,24.2,457,7.2,34,21
5.6,19.4,686,8.9,45,25
14.2,14.5,359,7.1,61,27
11.8,12.3,351,5.5,62,4
10,29.9,609,8.8,65,21
10.5,16.9,547,5.6,56,4
3.6,19.6,325,7.3,6,45
11,11.9,702,5.7,18,5
8.4,8.5,799,7.8,28,29
13,16.7,536,7.8,40,27
6.5,20.3,751,6.7,35,29
4.1,15.3,790,6.3,27,14
7.9,9.7,794,5.3,26,28
14.2,11.4,489,5.4,10,26
6.6,28.4,438,8,55,21
8.9,8.8,951,6.2,62,5
5.5,27,821,6.7,13,23
1,18.7,542,8.4,13,45
4.5,17.5,252,9,79,45
8.3,9.7,191,7.9,35,27
12,26.9,401,8.1,80,21
3.9,10.4,806,5.3,63,46
1.1,21.8,1,7.3,76,45
10.8,28.6,23,6.5,62,1
2.2,12.3,599,6.7,32,45
12.8,8.6,90,7.1,53,27
2.4,11.6,93,7.7,62,45
2.9,18,159,8.8,11,45
9.5,16.8,151,5.5,61,4
12.9,17.7,938,5.1,65,28
12.3,24.9,377,7.7,55,21
2.9,13,266,8.3,73,45
14.7,8.6,59,7.2,4,27
5.3,11.2,125,7.9,52,27
9.1,12.3,568,8.4,6,27
7.1,17.2,443,7.9,34,27
6.8,8.4,850,7.1,14,29
2.7,14.5,694,7.9,26,43
8.9,13.3,811,5,46,28
6.1,24.7,364,7.3,13,21
13.7,13.6,397,6.7,57,27
4.3,20.8,655,6,12,12
4.5,24.8,550,5.3,78,38
1.4,8.9,161,6.2,8,13
10.9,20.1,153,6.7,13,27
8,22.1,181,5.8,43,4
0.4,21,420,8.7,31,45
3.6,24.5,95,7,33,39
7.7,16.7,823,7.1,35,29
12.9,9.8,577,5,21,26
12.4,20.1,186,7.9,50,27
0.5,12.9,314,8.8,21,45
14.4,29.4,963,5.8,18,2
1.4,10.4,81,8.7,0,45
2.2,23.9,813,5.6,44,14
12.5,14.2,242,8.7,8,27
2.7,29.2,901,5.7,47,11
14.1,29,680,8,65,19
0.7,28.4,114,7.2,42,39
7.7,11.7,516,6,53,4
4,13.4,729,7.8,29,47
10.3,29.5,658,5.8,79,0
2,11.7,994,8.8,58,47
14.9,23.5,806,6.9,41,29
2.4,22.6,805,6.9,71,47
6.9,19.8,447,8.4,8,27
11.3,22.5,338,6.5,40,4
14.4,25.7,35,8.1,66,21
14.1,21.1,830,7.2,63,29
7.9,8.2,989,7.5,37,29
1.1,23.3,291,8.8,44,45
5,29.1,185,6,15,1
3.4,25.8,451,6,36,10
14.6,27.2,493,5.9,32,1
7.1,10.3,680,5.7,10,3
14.5,22.4,743,6.2,0,5
10,10.8,711,5.1,60,28
3.4,8.1,982,6,60,14
3.5,26,125,7.3,35,39
5.3,22.7,186,7.1,20,27
0.1,13.6,145,5.7,26,13
0.2,8.4,276,6.9,3,45
11.9,22.2,106,5.8,73,4
5,29.3,549,8,45,21
4.1,28.7,239,8.8,70,39
0.4,8.3,286,7.9,34,45
0.8,17.3,280,6.9,76,45
13.8,15,708,7.9,29,29
0.5,16.1,701,7.4,48,47
5.6,26.3,90,5.4,51,20
9.4,10.6,627,6.2,35,4
0.3,17.5,669,6,28,12
13.1,22.5,654,8.8,31,25
0.7,24,292,8,39,39
6.4,21.3,146,5.2,23,26
2.3,25,480,8.6,30,39
9.7,13.8,163,7.4,31,27
10,16.9,638,5.1,13,26
6.6,9,966,7.9,13,29
8.8,12.4,925,6.3,74,5
9.4,10.1,690,7,48,25
11.9,14.8,483,7.9,79,27
14.5,26.2,358,5.6,62,1
14.2,13.6,511,7.2,30,27
10.9,12,923,7.1,11,29
9.2,21.3,77,5.7,37,4
11.3,18.6,486,7,46,27
7.5,17.8,597,6.1,11,4
5.7,20.5,710,7.1,23,29
4.5,9.7,400,6.7,55,45
11.7,10.1,237,7.1,70,27
6.8,27.6,695,6.9,35,19
14.8,20.1,832,6.1,56,5
8.2,10.7,981,7.5,14,29
14.1,12.1,313,8.3,38,27
0.7,22.3,668,5.3,20,42
12.5,25.5,808,7.7,0,23
8.6,18.8,855,7.6,28,29
6,25.4,850,7.2,8,23
1.3,21.3,409,7.1,80,45
8.2,9.7,379,6.1,18,4
13.9,8.8,222,5.7,55,4
14.9,10.2,93,7,48,27
3.2,12.5,906,5.3,55,46
6.5,16.3,693,5.1,21,24
12.8,27,652,9,80,19
9.5,17.4,748,8,66,29
4.5,19.5,1000,8,32,47
3,8.9,610,7.6,6,45
5.2,16.6,573,5.7,71,4
8.9,11.5,403,7.4,6,27
3.3,26.6,22,5.5,73,10
3.9,13.1,651,6.1,44,12
13,16.3,100,5.2,80,26
10.7,28.4,604,7.5,65,21
9.2,15.6,462,5.3,41,26
9.3,15.7,132,8.8,11,27
0.4,26.8,474,6.3,69,10
9.1,14.5,53,5.5,69,4
12.8,8.4,974,5.5,68,5
8,10.3,379,6.3,14,4
4.2,21.1,798,7.3,15,47
10,21.6,696,8.8,9,25
9.1,22.3,236,8.8,58,27
5.1,25.9,556,7.5,50,21
4.9,11.4,116,9,41,45
2.7,11.1,102,8.4,32,45
2.4,21.9,870,8,49,47
11.4,18.7,801,8.1,69,29
12.3,12,598,7.7,39,27
14.8,24.5,137,5.8,24,1
12.8,21.8,174,6.3,45,4
0.9,19.1,982,8.7,37,47
8.4,18.1,733,7.6,7,29
4.1,10.2,490,5.9,73,13
6.2,28.5,337,8.9,2,21
14.8,9.5,699,8,28,25
0.6,27.6,696,6.5,15,9
8.3,13.2,196,6.6,49,27
11.3,20.1,44,8.2,57,27
2.3,8.9,689,8.1,64,43
15,12.7,903,8.3,26,29
3.5,18.5,162,7.1,76,45
3.7,11.1,135,7.2,4,45
6,10.7,251,5.8,66,4
11,21.1,804,8.6,67,29
6.8,28.5,775,8.3,53,23
13.1,9,873,8.1,2,29
14.2,28.6,44,8.5,44,21
9.8,16.9,598,6,52,4
11.3,17.3,992,7.9,46,29
1.8,19.1,792,6.7,71,47
2.5,13.9,966,6.6,66,47
14.2,18.6,109,6.4,21,4
2.4,23.7,838,6.8,35,47
10.9,8.2,409,6.1,47,4
13.5,25.4,616,5.9,54,1
9,25.1,29,7.8,1,21
3.2,20.2,632,7.9,69,45
6.3,10.8,448,8.6,48,27
9.3,16.5,454,7.5,76,27
8.2,12.1,147,6.8,21,27
8,15.2,751,7.1,38,29
14.7,10.8,836,8.2,66,29
10.4,23.1,649,6.5,79,4
3.6,17.5,988,7,56,47
2.4,9.2,17,6.9,34,45
4.7,10.3,191,8.5,38,45
4.5,12,574,8.4,78,45
3.5,8.1,329,5.8,23,13
5.3,17.9,214,5.4,37,26
4,13.3,945,8,25,47
4.1,9.8,159,6.2,28,13
11.7,13.9,405,7,50,27
11.6,17.6,264,5.8,1,4
10.4,23.6,251,5,54,26
2,28,843,7.6,6,41
5.6,19.7,463,7.2,43,27
14.6,20.7,879,8.8,15,29
8.2,8.7,811,8.9,64,29
6.3,21.4,323,7.5,8,27
9.3,18.5,500,7.5,3,27
8.7,13.5,424,7.2,17,27
11.2,26,198,8.5,65,21
1.6,9.1,998,5.7,4,14
4.2,13.8,82,5.2,24,44
10.8,25.3,867,5.9,23,2
2.4,16.1,18,8,16,45
11,19.1,234,8.1,76,27
1.7,18.3,328,7.2,54,45
3.8,15.8,709,7.8,11,47
1.3,14,444,8.2,2,45
4.1,28.7,453,6.1,74,10
4.1,9.6,299,8.2,42,45
11.5,15,400,7.7,79,27
13.5,16,318,7,3,27
5.8,15.9,206,5.4,75,26
12.3,15.6,215,8.7,63,27
1.7,18.9,738,6.4,39,14
12,23.4,80,5.6,49,4
6.3,22.6,857,6.1,48,5
13.5,27.9,224,8.2,28,21
7.2,14,898,5.7,33,5
7.9,26.3,325,6.3,2,1
0,9.8,855,7.7,22,47
13.9,12.1,212,7.2,72,27
12.4,16.1,93,5.2,9,26
0.7,24.9,65,7.3,24,39
6.3,26.9,876,6,25,2
11.1,11.4,762,7.3,60,29
14.5,21.5,295,8.5,5,27
2.9,25.5,741,6.6,58,41
8.6,11.9,193,5.4,64,26
4,11.9,597,5.4,38,44
10.3,16.7,198,7.5,25,27
13.7,10.9,297,5.2,31,26
8.3,22.6,496,5.2,30,26
2.4,14.6,243,7.7,64,45
1.2,28.1,502,6.3,75,10
12.3,24,709,5.1,76,22
1.9,12,102,6.9,41,45
1.1,19,248,8.4,4,45
9.5,28.6,182,9,64,21
6.2,23.5,240,6.8,46,27
12.9,29.3,384,8.2,37,21
6.4,14.9,122,6.4,27,4
2,27.6,486,7,3,39
2.6,25.9,90,6.1,6,10
14.7,15.1,25,6.1,11,4
11.9,14.9,168,8,16,27
9.5,20.5,155,5.1,42,26
14.9,25.8,677,7.2,46,19
4.6,25.4,102,8.2,79,39
9,19.3,325,6.7,78,27
13.7,11.5,154,5.1,6,26
6.2,23.6,697,7,51,25
1,9.3,352,6.1,27,13
14.1,21.6,711,6.9,11,29
8.4,19.4,604,8.3,33,27
5.5,23.9,214,5.1,15,26
14.7,22.9,885,8.3,2,29
14,15.7,170,5.1,16,26
1,27.8,175,9,44,39
12.8,28.1,129,7.5,6,21
10.4,24.7,886,7.6,59,23
2.6,27.2,481,5.8,8,10
1.2,11.5,739,7.5,61,47
2.1,24,848,5.9,6,11
1.9,26.9,288,8.9,5,39
7.3,27.2,428,5.9,9,1
7.8,11,131,7.5,57,27
0.2,28.7,546,6,40,10
5.5,18.7,42,7.8,19,27
4.8,29.2,424,6.3,28,10
13.4,11.7,594,8.4,44,27
4.4,29.1,807,8.8,42,41
1.6,19.4,295,7.1,44,45
1.1,16.7,955,6,17,14
1.7,18.1,701,6.1,26,14
10.3,12.4,273,7.3,33,27
4.1,16.7,151,7,59,45
2.6,11.2,608,6.5,14,13
2.1,15.3,949,8.2,66,47
2.7,13.2,960,8.6,35,47
8.3,19.1,166,6.5,79,4
0.9,18.1,792,8.7,74,47
4.8,10.3,204,7,60,45
8.6,28.8,517,8.6,37,21
0.9,21.6,135,6.6,61,45
6.3,9.6,760,6.7,6,29
14.7,17.2,921,5.8,51,5
1.4,15.9,228,6.5,16,13
1.6,21.7,60,5.2,30,44
14.7,9.2,12,5.1,76,26
14.1,8.3,429,7.6,44,27
2.3,26.7,761,8.3,69,41
6,23.3,347,7.4,3,27
3.7,22.3,52,6.5,42,13
8,16.8,718,8,36,29
12.5,16,239,8.2,5,27
6.6,22.7,708,6.7,9,29
12.1,28.3,941,7.4,18,23
2.6,12.5,926,6.7,68,47
13.5,16.9,799,7.9,22,29
6.6,14.4,842,5.9,75,5
7.5,26.2,662,8.6,69,19
8,22.9,342,8.1,10,27
11.9,9.5,217,8.4,22,27
11.8,29,39,7.4,3,21
11.9,22.2,282,8.1,62,27
5.5,24.2,624,8,42,21
5.8,11.3,380,6.4,29,4
13.3,28.6,478,8.6,63,21
1.3,20.4,287,6.4,6,13
13.9,17.8,161,8,24,27
1.7,23.8,150,8.8,52,45
11.1,12.9,261,5.5,11,4
5.1,26.1,571,6.6,77,21
7,13.9,941,6.9,0,29
11.4,19,65,5.4,59,26
4.2,8.4,872,5.9,73,14
14.6,26.5,593,8.8,51,21
5.5,8.9,482,5.6,32,4
5.6,17.2,111,6.7,7,27
14.6,24.9,126,7.7,11,21
7.5,16.3,870,8.5,0,29
7,13.2,872,8.2,70,29
1.9,12.1,218,5.3,58,44
9.8,13.9,404,8.7,13,27
10.6,15.5,381,5,24,26
8.8,8.1,329,5.8,70,4
7.8,12.4,765,5.7,40,5
9.8,26.7,411,8.6,73,21
1,28.2,794,6.4,33,11
8.2,16.4,498,7.9,21,27
7.2,24.7,882,8.8,78,23
5.8,27.3,288,6.6,31,21
11.5,13.7,807,5.5,63,5
0.9,18.5,449,6.6,59,45
14.5,11.4,874,7.7,10,29
3.9,20.8,471,5.3,6,44
6.5,9.9,657,5.1,58,24
8.7,27.4,602,8,60,21
3.5,23.6,570,6.5,18,13
4.9,9.2,527,7,16,45
3.5,22.8,518,8.7,7,45
0.1,19.6,884,6,50,14
7.8,13.6,737,6.9,45,29
7.4,25.8,389,8.9,1,21
11.1,24.8,703,8.1,6,23
5.4,26.7,813,7,62,23
9.2,19.8,634,6.9,70,27
0.2,13.3,929,6.7,43,47
6.6,9.7,837,8.5,22,29
8.8,24.7,412,5.5,55,1
3.8,19.5,27,8.5,80,45
11.9,16.4,291,8.9,30,27
0.3,15.7,660,6.4,6,12
14.2,8.4,196,6.8,62,27
8.6,14,136,5.5,48,4
13.9,9.8,127,8.9,4,27
9.9,17.9,372,6.5,72,4
2.9,25.1,317,9,64,39
15,10.6,413,8.4,58,27
8,12.4,924,5.2,52,28
6.9,13.4,371,5.8,75,4
14.8,21.1,283,5.6,63,4
4.3,18.9,779,7.3,44,47
2.5,22.2,301,6.5,47,13
9.6,21,802,8,11,29
12.4,24.2,772,5.7,14,2
12.6,27.2,161,7.8,11,21
12,18.7,25,8.1,71,27
12.8,18.1,971,7.8,65,29
6.9,12.3,447,5.4,53,26
12.4,13.8,164,8.8,28,27
8,15.9,307,5.5,55,4
7.6,13.4,413,5.6,18,4
5.8,25.2,142,7.2,16,21
5.5,12.4,275,7.1,46,27
4.3,13.5,993,7.1,79,47
14,11.8,890,5.1,43,28
11.1,9.1,949,8.7,70,29
6,19,433,8.8,26,27
11.1,10.1,253,5.9,69,4
12.1,21.1,536,6.7,79,27
2.2,25.7,63,6.4,1,10
7.9,22,854,8.1,71,29
4.8,10.2,186,5.1,69,44
3.3,20.5,501,7.2,35,45
7,23.4,515,5.9,76,4
9.4,26.6,697,6.8,56,19
11,22,514,8.9,13,27
4.5,19.7,57,6.9,6,45
9,28.5,408,6.7,32,21
0.9,26.3,798,5.8,8,11
8.6,24.2,819,8.2,47,23
13.9,17.1,758,5.5,21,5
2.1,17.9,536,5.5,36,13
6.2,26.2,751,5.4,73,22
8.9,18.6,483,7.3,6,27
9.7,18.5,470,6.6,5,27
13.2,22.4,186,5.4,8,26
13.2,19.1,704,7.9,21,29
8.6,9,795,5.3,71,28
5.8,26.2,836,5.7,28,2
7.7,16.4,430,8.5,66,27
12,9.4,851,8.2,13,29
4,18.5,45,6.6,30,45
6.3,9.8,261,7.5,17,27
9.4,24.9,416,7.8,26,21
8.9,28.5,510,6.3,63,1
11.7,25,373,5.5,17,1
6.6,11,21,6.7,29,27
3.6,12.5,496,8.8,3,45
0.6,25.2,78,6.5,74,10
7.5,16.4,608,8.5,55,27
0.6,28.4,866,7.8,29,41
11.5,19.5,314,8.5,10,27
1,15,367,5.7,78,13
6.9,29,912,7.4,22,23
12.3,20.2,959,8.8,25,29
9.9,14.3,699,6.6,0,25
4,24.8,594,6.8,50,39
4.2,15.8,315,6.7,3,45
5,20.5,801,5.1,7,28
7.3,15.2,917,8.9,59,29
3.4,10.7,870,8.7,58,47
3.7,18.5,31,6.8,47,45
1.2,16.9,757,6.9,72,47
12.6,18.7,156,5,60,26
8.1,26.6,363,8.2,36,21
12.9,28.6,842,7.7,75,23
2.6,30,385,8.4,39,39
2.9,27.5,251,5.8,64,10
11,28.8,888,9,21,23
13.5,12.4,775,7.3,37,29
13.2,24.2,954,6.6,38,23
6.6,19.4,732,7.6,75,29
6.9,16.4,720,5.1,80,28
5.2,23.7,44,6.3,65,4
8.6,10.5,884,7.3,40,29
8.2,22,626,6.8,72,27
1.4,26.4,289,7.4,52,39
8.5,25.8,431,8.9,19,21
14.5,10,584,5.1,17,26
14.8,12.8,135,6.8,8,27
0.8,17.3,646,6.1,34,13
9.8,19.1,793,7.7,47,29
9.4,12.2,986,7.4,48,29
5.4,12,568,7.5,5,27
4,14.8,553,8.2,70,45
9.2,15.3,722,5.9,54,5
13.5,27.8,411,8.2,53,21
0.7,13.3,914,6.8,9,47
8.8,15.7,918,8,77,29
6.5,13.1,944,9,79,29
3.9,14.1,594,5.8,75,13
13.1,24.7,410,7.1,45,21
0.8,21.8,199,5,61,44
5.2,19,572,6.2,51,4
1.1,25.2,633,6.4,44,10
4.4,18.8,823,7.3,57,47
8.7,8.6,780,5.1,51,28
13,14.2,948,7.5,38,29
12.9,15.1,754,6.7,35,29
6.8,17,729,7.5,54,29
9,24.5,451,6.3,14,1
13.5,11.4,27,6.2,27,4
7.8,29.5,811,5.3,10,22
8.6,18.9,274,6.5,12,4
11,8.6,125,6.5,12,4
1,15.3,733,6.7,63,47
2.1,10.8,766,5,5,46
0.3,22.2,541,5.3,30,44
15,13.5,349,8.3,38,27
14.6,28.2,16,6.9,20,21
4.2,11.4,601,5.1,75,44
1.2,28.8,582,8,28,39
8.5,18.5,326,7.1,43,27
9.3,17.5,507,8.5,4,27
14.7,26.4,632,8.4,8,21
12.2,18.6,175,5.6,8,4
12.2,11.5,152,6.4,21,4
11.9,14.9,914,6.1,3,5
13.4,8.8,930,7.6,7,29
5.9,8.2,360,8,36,27
0,19.7,457,6.6,14,45
0.8,12.8,569,7.2,25,45
13.9,16.9,369,8.1,68,27
4.1,9.6,708,8.8,46,47
11.8,28.3,939,5.5,40,2
13.4,9,597,5.1,5,26
3.8,9.9,486,5.7,41,13
9.7,9.5,940,8,57,29
9.3,16.7,745,8.6,13,29
2.9,27.9,535,6.5,72,10
9.1,24,932,6.5,7,2
10.1,29.8,870,5.5,5,2
13.9,17.4,265,5.4,49,26
9.9,27.4,437,6.3,13,1
0.4,15.6,125,7.2,4,45
7.2,27.1,997,8.5,12,23
1.1,28.9,985,5.7,57,11
8.7,11.2,912,7.9,45,29
14.4,11.7,372,8.7,76,27
2.9,28.2,775,8.5,77,41
10.6,13.8,157,8.6,53,27
0.4,23.6,404,6.2,78,13
7.1,24.2,754,6,42,2
7.9,8.4,773,8.3,1,29
4,26.4,647,6.1,22,10
1.7,25.7,629,7.5,28,39
4,25.7,726,5.8,64,11
13.9,9.2,823,6.2,28,5
8,28.6,311,5.1,26,20
14.9,18.5,335,5.1,31,26
5.4,17.7,161,6.4,77,4
7.2,21.3,893,8.1,7,29
6.9,28.5,694,7.3,54,19
12,28.1,72,5.3,60,20
1.1,28.6,70,7.9,62,39
8.6,21,998,5.4,59,28
12,28.9,533,6.5,56,1
10.4,8.9,913,6.2,48,5
10.4,23.5,940,5.4,65,28
2.2,26.4,510,5.2,36,38
6.5,16.8,222,7.6,66,27
12.4,11.6,101,5.2,38,26
4.6,27.6,247,6.1,72,10
2.1,13.4,541,5.6,73,13
3.4,18,907,7.7,75,47
9.4,16.4,974,8,0,29
12.8,29.9,600,5.4,62,20
6,11.9,967,5.3,36,28
0.7,25.8,570,8.9,51,39
12.8,21.7,377,5.2,13,26
1.2,21.9,934,6,76,14
10.7,13.4,779,5.4,73,28
4.9,20.9,981,6.3,23,14
13.1,28.6,620,5.6,74,1
3.9,23.8,470,8.3,19,45
10.2,18.7,30,8.3,16,27
1.4,25.3,997,7.7,11,41
9.8,9.7,314,8.6,41,27
1.2,21.7,775,7.7,7,47
3.5,29.3,178,5.3,1,38
12.8,11.3,186,6.6,31,27
5.6,26.8,417,6.5,65,1
7,27.8,286,5.5,9,1
14.3,16.9,61,6,78,4
0.9,24.8,23,6,51,10
3.4,14.8,912,8.8,0,47
2.1,23.7,12,5.5,41,13
5.9,28.7,241,5.5,11,1
12.5,19.3,49,8.6,63,27
5.8,24.4,497,7.8,45,21
12.9,15.7,252,7.4,50,27
1.5,21.7,345,6.1,77,13
4,16,75,8.8,27,45
0.3,26.9,935,8.6,51,41
6.4,15.6,915,6.3,16,5
2.6,8.7,911,8.2,47,47
7.9,23.3,613,5.7,38,4
13.4,24,924,7.3,8,23
8.3,21.5,785,7.3,75,29
4.1,12.9,271,8.2,59,45
12.6,25.6,739,5.8,52,2
4.8,10.4,521,5.4,14,44
0.4,26.2,90,5.7,22,10
13.8,12.4,210,5.9,50,4
8.9,12.6,410,7,22,27
12.2,24.9,295,7.3,10,21
7,27,435,5.5,72,1
3.8,9.8,739,8.6,68,47
2.9,16.7,514,5,10,44
12.2,14.6,84,7.3,18,27
3.1,20.2,643,6.3,48,13
0.9,8,652,6.9,12,43
7.1,13.2,682,5.5,1,3
12,8.4,494,6.5,58,4
8.6,17.5,384,6.7,60,27
4.2,13.2,584,6.4,46,13
14.1,19.9,842,7.2,10,29
10.3,23.5,315,6.3,64,4
4.4,28.5,160,5,34,38
13.3,21.4,341,8.4,80,27
0.3,13.7,121,5.6,66,13
6.7,10.9,368,7.1,44,27
13.9,16.2,29,6.4,75,4
3.6,22.4,667,6.8,63,43
13.9,21.5,155,7.8,4,27
2.5,22.1,499,8.6,55,45
0.6,13.1,466,6,32,13
4.9,10.3,886,6.7,58,47
8.5,19.9,867,8,72,29
2.1,24.6,152,7.1,65,39
6.7,22.6,986,5.3,71,28
5.8,12.3,507,5.4,32,26
12.6,8.1,28,6.9,25,27
7.8,26.5,427,6.1,57,1
14.6,28.5,988,7.1,56,23
13.9,21.3,906,8.5,19,29
10.8,24.6,672,6.1,66,0
6.5,9.5,914,7.3,4,29
13.1,24.3,989,7.1,75,23
7.3,11.5,265,6.1,48,4
12.3,24.7,37,8.5,68,21
2.1,18.5,549,6.4,69,13
7,19.5,16,7.5,54,27
12.3,25.8,976,8,48,23
4.9,12.1,53,7.2,77,45
7.4,19.2,150,7.1,3,27
6.6,25,813,6.3,41,2
6.5,10.8,113,7.9,39,27
10.1,17.7,215,5.9,45,4
1.9,23.3,678,7.2,27,43
8,26,445,7.2,27,21
5,8,712,7.8,17,29
11.7,22.1,977,6,62,5
2.9,24.6,666,5.4,8,36
3.2,23.2,138,8.2,29,45
13.3,12.9,219,9,29,27
10.6,15.2,442,8.1,55,27
12.3,26.1,304,7.9,0,21
9.1,27.4,507,6.9,50,21
1.3,26.3,734,5.9,49,11
0.6,14.1,683,6.5,70,12
15,19.8,235,7.1,14,27
10.8,18,703,5,73,28
13.1,17.1,468,5.6,31,4
10.8,9.6,736,8.9,8,29
10.6,27,999,7.9,65,23
4.3,18.8,753,6.8,32,47
14,18.1,649,5.4,13,26
4,28.7,463,5.4,36,38
0.8,28.2,517,8.5,16,39
14.5,10.2,198,5.3,34,26
12.7,9,21,7.4,2,27
14.1,12.2,971,6.7,6,29
8.5,17.9,561,6,5,4
8.1,29.9,672,7.1,71,19
5.9,17.7,198,6.5,22,4
2.1,15.8,295,8.1,48,45
12.6,21.5,425,5.8,31,4
